layer,"gsm8k/exact_match,strict-match","gsm8k/exact_match_stderr,strict-match","gsm8k/exact_match,flexible-extract","gsm8k/exact_match_stderr,flexible-extract"
4,0.1023502653525398,0.008349110996208832,0.6307808946171342,0.013293019538066244
baseline,0.09855951478392722,0.008210320350946342,0.6285064442759667,0.013309839075706487
2,0.10462471569370735,0.00843066808202928,0.6269901440485216,0.013320876609777222
3,0.09021986353297953,0.007891537108449965,0.6186504927975739,0.013379089877400722
5,0.06444275966641395,0.006763391728488275,0.6103108415466262,0.013433123236110709
7,0.09628506444275967,0.008125264128215898,0.6269901440485216,0.013320876609777217
1,0.09931766489764973,0.008238371412683973,0.6322971948445792,0.01328163050339548
6,0.1023502653525398,0.008349110996208818,0.6254738438210766,0.013331774158491384
0,0.10765731614859743,0.008537484003023354,0.6315390447308568,0.013287342651674574
15,0.10993176648976498,0.008616195587865397,0.6277482941622441,0.013315375362565038
10,0.11220621683093253,0.008693743138242374,0.640636846095527,0.013216456309851517
12,0.07050796057619409,0.007051543813983613,0.6322971948445792,0.01328163050339548
11,0.10386656557998483,0.008403622228924042,0.6322971948445792,0.01328163050339548
9,0.10765731614859743,0.008537484003023357,0.6315390447308568,0.013287342651674574
13,0.09476876421531463,0.008067791560015426,0.621683093252464,0.01335840783177711
14,0.12736921910538287,0.00918311032673783,0.6376042456406369,0.013240654263574759
20,0.0978013646702047,0.008182119821849035,0.6565579984836998,0.0130799338118003
18,0.11372251705837756,0.008744810131034042,0.6322971948445792,0.01328163050339548
8,0.1023502653525398,0.008349110996208834,0.6300227445034117,0.013298661207727125
23,0.10159211523881728,0.008321642868474826,0.6383623957543594,0.013234658351088764
19,0.05913570887035633,0.006497266660428849,0.6019711902956786,0.013483026939074823
17,0.16755117513267628,0.010287143693711231,0.6497346474601972,0.013140409455571277
21,0.0758150113722517,0.0072912057231625865,0.6186504927975739,0.013379089877400736
22,0.11902956785443518,0.008919702911161613,0.6254738438210766,0.013331774158491386
28,0.10159211523881728,0.008321642868474834,0.6345716451857468,0.013264282030266633
26,0.09931766489764973,0.008238371412683977,0.6285064442759667,0.013309839075706485
27,0.09552691432903715,0.008096605771155735,0.6307808946171342,0.013293019538066244
31,0.10007581501137225,0.008266274528685629,0.6300227445034117,0.013298661207727124
16,0.11372251705837756,0.008744810131034036,0.6330553449583017,0.013275883047712208
25,0.053828658074298714,0.006216328640238139,0.5966641394996209,0.01351265478181471
29,0.10159211523881728,0.008321642868474834,0.6368460955269143,0.013246614539839873
30,0.0978013646702047,0.00818211982184906,0.6194086429112965,0.01337397127772982
34,0.09552691432903715,0.008096605771155735,0.6315390447308568,0.01328734265167457
35,0.10765731614859743,0.008537484003023359,0.6330553449583017,0.013275883047712208
24,0.10917361637604246,0.008590089300511142,0.6254738438210766,0.013331774158491388
33,0.11220621683093253,0.008693743138242378,0.6277482941622441,0.01331537536256504
32,0.060652009097801364,0.006574733381405775,0.6315390447308568,0.013287342651674574
